Ballotpedia Person ID,Name,Twitter ID,ASD Override,Category,Account Type,Product,Validated,Facebook ID,Youtube,Instagram ID,Rumble,Telegram,TikTok ID,Column1,Verified
,Mohitzist,mohitzist,,Iran,Media,Hamilton,TRUE,,,,,,,,
,Moradian_ir,moradian_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,moradian_ir,,,,,
,mowlaverdi,mowlaverdi,,Iran,Diplomatic/Government,Hamilton,TRUE,Mowlaverdi,,,,mowlaverdi2,,,
,Majid Takht Ravanchi,mrahrow,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,M. Reza Dehshiri,mrezadehshiri,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Nahavandian_ir,nahavandian_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,nahavandian_ir,,,,,
,Nexo Latino,nexo_latino,,Iran,Media,Hamilton,TRUE,nexolatino,UCajoZ4_gTuSqeeEi0EeN_tw,,,,,,
,noroozpour,noroozpour,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,noroozpour,,,
,of_tirana,of_tirana,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,OfficialDOEIran,officialdoeiran,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,OnTheNewsLine,,,Iran,Media,Hamilton,TRUE,,UClDWfgiaO02GCWRTwoVkbwA,onthenewsline,,,,,
,PadDolat,paddolat,,Iran,Diplomatic/Government,Hamilton,TRUE,,,pad_dolat,,PadDolat,,,
,parvizfattah,parvizfattah,,Iran,Diplomatic/Government,Hamilton,TRUE,,,parviz.fattah.official,,,,,
,PMIRAN_GENEVA,pmiran_geneva,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,PMIRAN_Vienna,pmiran_vienna,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,PressTV,presstv,,Iran,Media,Hamilton,TRUE,PRESSTV,,presstvchannel,PressTV,presstv,,,
,PressTVIntvws,presstvintvws,,Iran,Media,Hamilton,TRUE,,,,,,,,
,PressTVPrograms,presstvprograms,,Iran,Media,Hamilton,TRUE,,,presstvprograms,,presstvprograms,,,
,PresstvTurkce,presstvturkce,,Iran,Media,Hamilton,TRUE,,,,,,,,
,Presstvuk,presstvuk,,Iran,Media,Hamilton,TRUE,,,,,,,,
,PressTV breaking,ptvbreaking1,,Iran,Media,Hamilton,TRUE,,,presstv.news,PressTVNews,,,,
,realAfricaToday,realafricatoday,,Iran,Media,Hamilton,TRUE,realafricatoday,,realafricatoday,,,,,
,RezaHaghighi97,rezahaghighi97,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Rouhani_ir,rouhani_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,PresidentHassanRohani,UCEA-eGFkNS_EbSSjN-mEdyQ,,,,,,
,Seyyed Abbas Salehi,s_a_salehi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Saeed Yari,saeedyari20,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,SAMOUSAVI9,samousavi9,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,iranazer,,,
,ShabestanMedia,shabestanmedia,,Iran,Media,Hamilton,TRUE,,,,,shabestannewsagency,,,
,SKhatibzadeh,skhatibzadeh,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,smhmatin,smhmatin,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,soltanihojjat,soltanihojjat,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Iran Press Spain,spainiranpress,,Iran,Media,Hamilton,TRUE,,,,,,,,
,TakhtRavanchi,takhtravanchi,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Tasnimnews_EN,Tasnimnews_EN,,Iran,Media,Hamilton,TRUE,100069222489476,,,,TasnimNewsAgency_En,,,
,Tasnimnews_Fa,tasnimnews_fa,,Iran,Media,Hamilton,TRUE,,UC9gm0OdmoAkGxIZG8veaxnw,TasnimNews_Fa,,Tasnimnews,,,
,TheBigConvo_PTV,thebigconvo_ptv,,Iran,Media,Hamilton,TRUE,,,,,,,,
,Ayetullah Seyyid Ali Hamanei,tr_khamenei_ir,,Iran,Diplomatic/Government,Hamilton,TRUE,,,tr.Khamenei,,,,,
,TTimesOnline,ttimesonline,,Iran,Media,Hamilton,TRUE,,,,,,,,
,ur_khamenei,ur_khamenei,,Iran,Diplomatic/Government,Hamilton,TRUE,ImamKhamenei.URDU,,urdu_khamenei,,Khamenei_ur,,,
,VezaratNaft,vezaratnaft,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,We the People Real,wethepeoplereal,,Iran,Media,Hamilton,TRUE,wethepeoplereal,,,,,,,
,Marwa Osman,marwa__osman,,Iran,Media,Hamilton,TRUE,,,marwa_osman1,,Marwa_OsmanLB,,,
,Chris Williamson,derbychrisw,,Iran,Media,Hamilton,TRUE,derbychrisw,,derbychrisw,,,,,
,Palestine Declassified,pdeclassified,,Iran,Media,Hamilton,TRUE,Palestine.Declassified,,palestine_declassified,c-2038345,palestinedeclassified,,,
,David Miller,tracking_power,,Iran,Media,Hamilton,TRUE,,,tracking.power,,tracking_power,,,
,Ahmad Noroozi,anoroozee,,Iran,Media,Hamilton,TRUE,ahmad.noroozi.10,,,,,,,
,Mubarak Heniar,mubarakhenia,,Iran,Media,Hamilton,TRUE,,,,,,,,
,Johnny Miller,johnnyjmils,,Iran,Media,Hamilton,TRUE,,,,,,,,
,Nasser Kanaani,irimfa_spox,,Iran,Diplomatic/Government,Hamilton,TRUE,,,irimfa.spox,,,,,
,Seyed Ebrahim Raisi,raisi_com,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,IRANenGUINEE,iraninguinea,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninkandahar,iraninkandahar,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iratanzania,iratanzania,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,irhamburg,irhamburg,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninsingapore,iraninsingapore,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninbelgique,iraninbelgique,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iraninistanbul,iraninistanbul,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,iranin_dhaka,iranin_dhaka,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,irankazakhstan2,irankazakhstan2,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,highlightsnews1,highlightsnews1,,Iran,Media,Hamilton,TRUE,PressTV.Highlights,,,,,,,
,presstvextra,presstvextra,,Iran,Media,Hamilton,TRUE,,,,,,,,
,palhighlight,palhighlight,,Iran,Media,Hamilton,TRUE,,,,,,,,
,irangov_ar,irangov_ar,,Iran,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,farsi_iranpress_com,,,Iran,Media,Hamilton,TRUE,,,,,farsi_iranpress_com,,,
,irna_lorestan,,,Iran,Media,Hamilton,TRUE,,,,,irna_lorestan,,,
,Irna_Alborz,,,Iran,Media,Hamilton,TRUE,,,irnaalborz,,Irna_Alborz,,,
,irna_ardebil,,,Iran,Media,Hamilton,TRUE,,,irnaardebil,,irna_ardebil,,,
,irna_arak,,,Iran,Media,Hamilton,TRUE,,,,,irna_arak,,,
,irna_bojnourd,,,Iran,Media,Hamilton,TRUE,,,irna_bojnourd,,irna_bojnourd,,,
,irna_birjand,,,Iran,Media,Hamilton,TRUE,,,irnabirjand,,irna_birjand,,,
,irna_boshehr,,,Iran,Media,Hamilton,TRUE,,,,,irna_boshehr,,,
,irna_bandarabas,,,Iran,Media,Hamilton,TRUE,,,,,irna_bandarabas,,,
,Irna_fr,,,Iran,Media,Hamilton,TRUE,,,,,Irna_fr,,,
,irna_esfahan,,,Iran,Media,Hamilton,TRUE,,,irnaesfaahan,,irna_esfahan,,,
,irna_golestan,,,Iran,Media,Hamilton,TRUE,,,irna_golestan,,irna_golestan,,,
,irna_hamedan,,,Iran,Media,Hamilton,TRUE,,,irna.hamedan,,irna_hamedan,,,
,irna_kurdestan,,,Iran,Media,Hamilton,TRUE,,,,,irna_kurdestan,,,
,Irna_kermanshah,,,Iran,Media,Hamilton,TRUE,,,irnakermanshah,,Irna_kermanshah,,,
,irna_kerman,,,Iran,Media,Hamilton,TRUE,,,irna.kerman,,irna_kerman,,,
,irna_kish,,,Iran,Media,Hamilton,TRUE,,,irnakish,,irna_kish,,,
,irna_lebanon,,,Iran,Media,Hamilton,TRUE,,,,,irna_lebanon,,,
,irna_mashhad,,,Iran,Media,Hamilton,TRUE,,,,,irna_mashhad,,,
,irna_qom,,,Iran,Media,Hamilton,TRUE,,,qom_irna,,irna_qom,,,
,Qz_IRNA,,,Iran,Media,Hamilton,TRUE,,,irnaqazvin,,Qz_IRNA,,,
,irna_research,irna_research,,Iran,Media,Hamilton,TRUE,,,irna_research,,irna_research,,,
,irna_rasht,,,Iran,Media,Hamilton,TRUE,,,,,irna_rasht,,,
,irna_sari,,,Iran,Media,Hamilton,TRUE,,,,,irna_sari,,,
,Shahrekord_Irna,,,Iran,Media,Hamilton,TRUE,,,,,Shahrekord_Irna,,,
,irna_tabriz,irna_tabriz,,Iran,Media,Hamilton,TRUE,,,,,irna_tabriz,,,
,irna_ur,,,Iran,Media,Hamilton,TRUE,,,,,irna_ur,,,
,irna_wazarbaijan,,,Iran,Media,Hamilton,TRUE,,,,,irna_wazarbaijan,,,
,irna_yasuj,,,Iran,Media,Hamilton,TRUE,,,,,irna_yasuj,,,
,irna_yazd,,,Iran,Media,Hamilton,TRUE,,,,,irna_yazd,,,
,irna_zanjan,,,Iran,Media,Hamilton,TRUE,,,irnazanjaan,,irna_zanjan,,,
,irna_zahedan,irna_zahedan,,Iran,Media,Hamilton,TRUE,,,irnazahedan,,irna_zahedan,,,
,khabaronline_com,,,Iran,Media,Hamilton,TRUE,,,khabaronline_ir,,khabaronline_com,,,
,khabaronline_gilan,,,Iran,Media,Hamilton,TRUE,,,,,khabaronline_gilan,,,
,khabaronline_ir,khabaronlinee,,Iran,Media,Hamilton,TRUE,www.khabaronline.ir,-khabaronline5666,khabaronline_plus,,khabaronline_ir,,,
,khabaronline_Esfahan,,,Iran,Media,Hamilton,TRUE,,,khabaronline.esfahan,,khabaronline_Esfahan,,,
,khamenei_irNews,,,Iran,Media,Hamilton,TRUE,,,,,khamenei_irNews,,,
,MehrNews_Golestan,,,Iran,Media,Hamilton,TRUE,,,,,MehrNews_Golestan,,,
,MehrNews_Lorestan,,,Iran,Media,Hamilton,TRUE,,,,,MehrNews_Lorestan,,,
,MehrNews_Ardabil,,,Iran,Media,Hamilton,TRUE,,,,,MehrNews_Ardabil,,,
,MehrNews_khorasanSh,,,Iran,Media,Hamilton,TRUE,,,,,MehrNews_khorasanSh,,,
,presstv_Iran,,,Iran,Media,Hamilton,TRUE,,,iran.presstv,,presstv_Iran,,,
,PressTVFarsi,PressTVFarsi,,Iran,Media,Hamilton,TRUE,,,presstvfarsi,,PressTVFarsi,,,
,PresstvDoc,,,Iran,Media,Hamilton,TRUE,,,presstvdoc,,PresstvDoc,,,
,PressTViews,PressTViews,,Iran,Media,Hamilton,TRUE,,,,,PressTViews,,,
,PressTVFr,PressTVFr,,Iran,Media,Hamilton,TRUE,,,presstv_fr,,PressTVFr,,,
,shabestaneilam,,,Iran,Media,Hamilton,TRUE,,,,,shabestaneilam,,,
,shabestangolestan,,,Iran,Media,Hamilton,TRUE,,,,,shabestangolestan,,,
,IranPress_Farsi,IranPress_Farsi,,Iran,Media,Hamilton,TRUE,,,,,IranPress_Farsi,,,
,farsi_iranpress_media_center,irannewsvideo,,Iran,Media,Hamilton,TRUE,,UCxqxol_LDUoMMz8BJJkKj7A,,,farsi_iranpress_media_center,,,
,MidEaStream,MIDEASTREAM1,,Iran,Media,Hamilton,TRUE,MidEaStreamTVShow,,,,,,,
,af_farsnews,,,Iran,Media,Hamilton,TRUE,,,af_farsnews,,,,,
,farsnews_golestan,,,Iran,Media,Hamilton,TRUE,,,farsnews_golestan,,,,,
,farsnews.skh,,,Iran,Media,Hamilton,TRUE,,,farsnews.skh,,,,,
,farsnews_fars,,,Iran,Media,Hamilton,TRUE,,,farsnews_fars,,,,,
,farsnews_bu,,,Iran,Media,Hamilton,TRUE,,,farsnews_bu,,,,,
,farsnews_org,,,Iran,Media,Hamilton,TRUE,,,farsnews_org,,,,,
,my_farsnews,,,Iran,Media,Hamilton,TRUE,,,my_farsnews,,,,,
,farsnewsec,,,Iran,Media,Hamilton,TRUE,,,farsnewsec,,,,,
,farsnewsfars,,,Iran,Media,Hamilton,TRUE,,,farsnewsfars,,,,,
,farsnewshamedan,,,Iran,Media,Hamilton,TRUE,,,farsnewshamedan,,,,,
,farsnewsedu,,,Iran,Media,Hamilton,TRUE,,,farsnewsedu,,,,,
,yazd.farsnews,,,Iran,Media,Hamilton,TRUE,,,yazd.farsnews,,,,,
,iran.embassy.azerbaijan,,,Iran,Diplomatic/Government,Hamilton,TRUE,iran.embassy.azerbaijan,,iran.embassy.azerbaijan,,,,,
,iranpress_lorestan,,,Iran,Media,Hamilton,TRUE,,,iranpress_lorestan,,,,,
,iranpress_ardabil,,,Iran,Media,Hamilton,TRUE,,,iranpress_ardabil,,,,,
,iranpress_shiraz,,,Iran,Media,Hamilton,TRUE,,,iranpress_shiraz,,,,,
,iranpress_kerman,,,Iran,Media,Hamilton,TRUE,,,iranpress_kerman,,,,,
,iranpress_hamedan,,,Iran,Media,Hamilton,TRUE,,,iranpress_hamedan,,,,,
,iranpress_mashhad,,,Iran,Media,Hamilton,TRUE,,,iranpress_mashhad,,,,,
,iranpress_gilan,,,Iran,Media,Hamilton,TRUE,,,iranpress_gilan,,,,,
,iranpress_azerbaijangharbi,,,Iran,Media,Hamilton,TRUE,,,iranpress_azerbaijangharbi,,,,,
,iranpress_eastazerbaijan,,,Iran,Media,Hamilton,TRUE,,,iranpress_eastazerbaijan,,,,,
,iranpress_hamedan,,,Iran,Media,Hamilton,TRUE,,,iranpress_hamedan,,,,,
,iranpress_qazvin,,,Iran,Media,Hamilton,TRUE,,,iranpress_qazvin,,,,,
,iribnews.esfahan,,,Iran,Media,Hamilton,TRUE,,,iribnews.esfahan,,,,,
,iribnews.fereydan,,,Iran,Media,Hamilton,TRUE,,,iribnews.fereydan,,,,,
,iribnews_khoor,,,Iran,Media,Hamilton,TRUE,,,iribnews_khoor,,iribnews_khoor,,,
,iribnews_guilan,,,Iran,Media,Hamilton,TRUE,,,iribnews_guilan,,,,,
,iribnews_naein,,,Iran,Media,Hamilton,TRUE,,,iribnews_naein,,,,,
,iribnews_falavarjan,,,Iran,Media,Hamilton,TRUE,,,iribnews_falavarjan,,,,,
,mehrnews.official,,,Iran,Media,Hamilton,TRUE,MehrNews,,mehrnews.official,,,,,
,mehrnews_media,,,Iran,Media,Hamilton,TRUE,,,mehrnews_media,,,,,
,mehrnews.fars,,,Iran,Media,Hamilton,TRUE,,,mehrnews.fars,,,,,
,mehrnews_hamedann,,,Iran,Media,Hamilton,TRUE,,,mehrnews_hamedann,,,,,
,mehrnews.ahwaz,,,Iran,Media,Hamilton,TRUE,,,mehrnews.ahwaz,,,,,
,mehrnews.support,,,Iran,Media,Hamilton,TRUE,,,mehrnews.support,,,,,
,mehr_news.gilan,,,Iran,Media,Hamilton,TRUE,,,mehr_news.gilan,,,,,
,en.mehrnews,,,Iran,Media,Hamilton,TRUE,,,en.mehrnews,,,,,
,mehrnewscom,,,Iran,Media,Hamilton,TRUE,,,mehrnewscom,,,,,
,mehrnews_golestan,,,Iran,Media,Hamilton,TRUE,,,mehrnews_golestan,,,,,
,mehrnews.provinces,,,Iran,Media,Hamilton,TRUE,,,mehrnews.provinces,,,,,
,mehrnews.yazd,,,Iran,Media,Hamilton,TRUE,,,mehrnews.yazd,,,,,
,mehrnews_khorasansh,,,Iran,Media,Hamilton,TRUE,,,mehrnews_khorasansh,,,,,
,mehr_newssemnan,,,Iran,Media,Hamilton,TRUE,,,mehr_newssemnan,,,,,
,mehrnews_ksh,,,Iran,Media,Hamilton,TRUE,,,mehrnews_ksh,,,,,
,mehrnews.qazvin,,,Iran,Media,Hamilton,TRUE,,,mehrnews.qazvin,,,,,
,ur.mehrnews,,,Iran,Media,Hamilton,TRUE,,,ur.mehrnews,,,,,
,tr.mehrnews,,,Iran,Media,Hamilton,TRUE,,,tr.mehrnews,,,,,
,mehrnews.ilam,,,Iran,Media,Hamilton,TRUE,,,mehrnews.ilam,,,,,
,mehrnews_ardabil,,,Iran,Media,Hamilton,TRUE,,,mehrnews_ardabil,,,,,
,mehrnewsalborz,,,Iran,Media,Hamilton,TRUE,,,mehrnewsalborz,,,,,
,mehrnews_booshehr,,,Iran,Media,Hamilton,TRUE,,,mehrnews_booshehr,,,,,
,tasnim.news,,,Iran,Media,Hamilton,TRUE,,,tasnim.news,,,,,
,tasnimnews_hebrew,TasnimNews_he,,Iran,Media,Hamilton,TRUE,,,tasnimnews_hebrew,,,,,
,tasnimnews_af,,,Iran,Media,Hamilton,TRUE,,,tasnimnews_af,,,,,
,tasnimnewszanjan,,,Iran,Media,Hamilton,TRUE,,,tasnimnewszanjan,,,,,
,tasnim_afg_indiansub,,,Iran,Media,Hamilton,TRUE,,,tasnim_afg_indiansub,,AfPakTasnim,,,
,tasnimnews.qom,,,Iran,Media,Hamilton,TRUE,,,tasnimnews.qom,,,,,
,tasnimnews_fa_kerman,,,Iran,Media,Hamilton,TRUE,,,tasnimnews_fa_kerman,,,,,
,tasnimnews.sb,,,Iran,Media,Hamilton,TRUE,,,tasnimnews.sb,,,,,
,tasnimnewsyazd,,,Iran,Media,Hamilton,TRUE,,,tasnimnewsyazd,,,,,
,tasnim_news_ardebil,,,Iran,Media,Hamilton,TRUE,,,tasnim_news_ardebil,,,,,
,tasnimnewskashan,,,Iran,Media,Hamilton,TRUE,,,tasnimnewskashan,,,,,
,tas.nimnews,,,Iran,Media,Hamilton,TRUE,,,tas.nimnews,,,,,
,khabaronline.hormozgan,,,Iran,Media,Hamilton,TRUE,,,khabaronline.hormozgan,,,,,
,khabaronline.dez,,,Iran,Media,Hamilton,TRUE,,,khabaronline.dez,,,,,
,khabaronline_kermanshah,,,Iran,Media,Hamilton,TRUE,,,khabaronline_kermanshah,,khabaronline_kermanshah,,,
,YANG Sheng,alexysalex17,,China,Media,Hamilton,TRUE,,,,,,,,
,Chen Xu 陈旭,amb_chenxu,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Li Song 李松,amb_lisong,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Zhang Yiming,amb_yiming,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Zhu Jing 朱京,amb_zhujing,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Ambassade de Chine en France,ambassadechine,,China,Diplomatic/Government,Hamilton,TRUE,AmbassadeChine,,ambassadedechine,,,ambassadedechine,,
,Liu Yuxi,ambassador_liu,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Xing Haiming 邢海明,ambassador_xing,,China,Diplomatic/Government,Hamilton,TRUE,kr.chinaembassy,,chinese_embassy_in_seoul,,,chinese_embassy_in_seoul,,
,Lei Kezhong,ambassadorlei,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,AmbassadorLiu,ambassadorliu,,China,Diplomatic/Government,Hamilton,TRUE,ChineseEmbassyCyprus,,,,,,,
,Chang Hua,ambchanghua,,China,Diplomatic/Government,Hamilton,TRUE,,,chinaembassy_iran,,,,,
,Chen Bo,ambchenbo,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Chen Weiqing,ambchenweiqing,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Ambassade de Chine au Burundi,ambchineburundi,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Ambassade de Chine au Cameroun,ambchinecmr,,China,Diplomatic/Government,Hamilton,TRUE,AmbChineCmr,,,,,,,
,Ambassade de Chine en RDC中国驻刚果（金）大使馆,ambchineenrdc,,China,Diplomatic/Government,Hamilton,TRUE,chinaembcongobz,,,,,ambassadechineaucongo,,
,Ambassade de Chine au Tchad,ambchinetchad,,China,Diplomatic/Government,Hamilton,TRUE,ambchinetchad,,,,,,,
,Ambasciata Repubblica Popolare Cinese in Italia,ambcina,,China,Diplomatic/Government,Hamilton,TRUE,chineseembassyitaly,,ambcina,,,,,
,Dong Xiaojun,ambdongxiaojun,,China,Diplomatic/Government,Hamilton,TRUE,chineseembassyinbulgaria,,,,,,,
,FANG Qiu,ambfangqiu,,China,Diplomatic/Government,Hamilton,TRUE,fang.qiu.9847,UCtf93AbqRbyvKC-_Uf6F-kg,,,,,,
,Liao Liqiang,ambliaoliqiang,,China,Diplomatic/Government,Hamilton,TRUE,AmbLiaoliqiang,,,,,,,
,Quan Liu,ambliuquan,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,刘晓明Liu Xiaoming,ambliuxiaoming,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Nong Rong,ambnong,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Zheng Zeguang,ambzhengzeguang,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Zhou Jian,ambzhoujian,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Beijing Review,beijingreview,,China,Media,Hamilton,TRUE,BJReview,UCbPmn9xCFVYct7ghFQcr0DA,beijingreview,,beijingreview,beijingreview,,
,Belt and Road & Beyond,beltandroaddesk,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Wang Cong,bycongwang,,China,Media,Hamilton,TRUE,,,,,,,,
,曹 毅 CAO Yi أبو وسيم,caoyi_mfa,,China,Diplomatic/Government,Hamilton,TRUE,100069091484628,,,,,,,
,Chinese Emb Pakistan,cathaypak,,China,Diplomatic/Government,Hamilton,TRUE,100071253341591,,,,,,,
,中国驻贝尔法斯特总领事馆,ccgbelfast,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Chinese Consulate General in Jeddah,ccgjeddah,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,CCTV,cctv,,China,Media,Hamilton,TRUE,cctvcom,UCmv5DbNpxH8X2eQxJBqEjKQ,cctv,,,MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,,
,CCTV Français,cntvfrancais,,China,Media,Hamilton,TRUE,cctvcom,UCfkV7TVyjL8CIJhBafkhMdA,,,,,,
,CCTV+,cctv_plus,,China,Media,Hamilton,TRUE,NewsContent.CCTVPLUS,UCfMFUCYgo9qbd_Pf8KeM6rQ,,,,cctvplus,,
,CCTV Asia Pacific,cctvasiapacific,,China,Media,Hamilton,TRUE,CCTVAPOfficial,UCkUmvobIeIfcC5I7LKNHvfg,cctv_asiapacific,,,,,
,CCTV 中文,cctvchinese,,China,Media,Hamilton,TRUE,CCTV.CH,UCcLK3j-XWdGBnt5bR9NJHaQ,cctv.chinese,,,cctvchinese,,
,Visual China,cd_visual,,China,Media,Hamilton,TRUE,,,,,,,,
,China Daily Africa,cdafricanews,,China,Media,Hamilton,TRUE,ChinaDailyAfrica,,,,,,,
,China Watch Institute,cdchinawatch,,China,Media,Hamilton,TRUE,,,,,,,,
,China Daily Hong Kong,cdhkedition,,China,Media,Hamilton,TRUE,chinadailyhkedition,,,,,,,
,CD Opinion,cdopinion,,China,Media,Hamilton,TRUE,,,,,,,,
,China General Chamber of Commerce - USA,cgccusa,,China,Diplomatic/Government,Hamilton,TRUE,CGCCUSA,UClh6Uc2tF0R9Dk78wHismdQ,,,,,,
RENAMED to @CHINA_DIPLOMAT,CGCHINA_CPT,cgchina_cpt,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,chineseconsulateincpt,,
RENAMED to @Li_Yang_China,Li Yang,cgchinaliyang,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Consulado-Geral da China em São Paulo,cgchinasp,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Huang Ping 黄屏,cghuangpingny,,China,Diplomatic/Government,Hamilton,TRUE,ChinaCGNYC,,,,,,,
,CG li bijian,cgli13,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Zhang Meifang,cgmeifangzhang,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,cgmeifangzhang,,
,ChinaConsulateDubai,cgprcindubai,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,CGTN Culture,cgtn_culture,,China,Media,Hamilton,TRUE,100063858043310,UCwBwUdQUDemRYzpEImcJjqw,,,,,,
,cgtnafrica,cgtnafrica,,China,Media,Hamilton,TRUE,cgtnafrica,UCMeYPU1YfXjxsUa6QXWsfjg,cgtn_africa,,chinanationalglobaltelevision,cgtnafrica,,
,cgtnamerica,cgtnamerica,,China,Media,Hamilton,TRUE,cgtnamerica,UCj7wKsOBhRD9Jy4yahkMRMw,cgtnamerica,,CGTN_Americaworldtoday,cgtnamericannews,,
,cgtnarabic,cgtnarabic,,China,Media,Hamilton,TRUE,cgtnarabic,UCQmJk0ErE_FiorcLBsDKORA,cgtnarabic,,,cgtnarabic,,
,CGTNbiz_arabic,cgtnbiz_arabic,,China,Media,Hamilton,TRUE,CGTNbizarabic,,,,,,,
,CGTNDCproducers,cgtndcproducers,,China,Media,Hamilton,TRUE,,,,,,,,
,cgtnenespanol,cgtnenespanol,,China,Media,Hamilton,TRUE,cgtnenespanol,UCQ-hpFPF4nOKoKPEAZM_THw,cgtnenespanol,,,cgtnenespanol,,
,CGTNEurope,cgtneurope,,China,Media,Hamilton,TRUE,cgtneuropeofficial,UCj0TppyxzQWm9JbMg3CP8Rg,cgtneurope,,cgtn_europe,cgtneurope,,
,CGTN Français,cgtnfrancais,,China,Media,Hamilton,TRUE,CGTNFrancais,UCcfLuU0NFT0ZRoQy4jk6GdA,cgtnfrancais,,CGTNFrancais,,,
,CGTNGlobalBiz,cgtnglobalbiz,,China,Media,Hamilton,TRUE,CGTNGlobalBusiness,UCZ8zS-h1CqfZrVVXlmwcIQQ,,,,,,
,CGTNOfficial,cgtnofficial,,China,Media,Hamilton,TRUE,ChinaGlobalTVNetwork,UCgrNz-aDmcr2uuto8_DL2jg,cgtn,,cgtn,cgtnofficial,,
,cgtnrussian,cgtnrussian,,China,Media,Hamilton,TRUE,cgtnrussian,UCA2WHG4EpVqul3TYjAF0k2A,cgtn_russian,,cgtn_russian,cgtn_russian,,
,Chen Mingjian 陈明健,chenmingjian_cn,,China,Diplomatic/Government,Hamilton,TRUE,,,chenmingjian_cn,,,,,
,Chen Weihua（陈卫华）,chenweihua,,China,Media,Hamilton,TRUE,,,,,,chen.weihua,,
,China Focus,china__focus,,China,Media,Hamilton,TRUE,ChinaFocus2015,UCwafnmJZIYlvKvBxrkV8HOg,china__focus,,,chinafocus,,
,Embassy of The People's Republic of China in India,china_amb_india,,China,Diplomatic/Government,Hamilton,TRUE,Embassy-of-The-Peoples-Republic-of-China-in-India-100077993982184,UCozatOnTpkfKbviR4DA2JOQ,,,,,,
,Chinese Ambassador to Zimbabwe,china_amb_zim,,China,Diplomatic/Government,Hamilton,TRUE,,,,,,,,
,Chinese Embassy in Nigeria,china_emb_ng,,China,Diplomatic/Government,Hamilton,TRUE,ChineseEmbassyInNigeria,,,,,,,
