Category,Account Type,Name,"Position, Notes, or Reason for Inclusion",Twitter ID,Facebook ID,YouTube ID,Instagram ID, TikTok,Telegram ID, Threads, Rumble, VK, Bitchute, GETTR, Gab, OK, Parler, Podcast, Substack, TruthSocial,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Instagram username,YouTube channel ID,TikTok username,Threads username,Rumble channel,VK ID,Gab username,Odnoklassniki user numeric ID,Parler username,Truth Social username,updated
China,Diplomatic/Government,Yang Zhiyu,Ministry of Foreign Affairs,yang_zhiyu1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Yao Fei,Ministry of Foreign Affairs,yaofei9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Ruan Yaying,Ministry of Foreign Affairs,yayingruan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Yu Dunhai,Ministry of Foreign Affairs,ydunhai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Song Yichu,Ministry of Foreign Affairs,yichusong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Yang Yiding,Ministry of Foreign Affairs,yidingyang_mfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Zhang Yiwen,Ministry of Foreign Affairs,yiwen_zh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Yan Xiusheng,Ministry of Foreign Affairs,yxiusheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Zha Liyou,Ministry of Foreign Affairs,zhaliyou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Zhang Heqing,Ministry of Foreign Affairs,zhang_heqing,CulturalChinaBJ,,,culturalchinacn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Zhang Xi,Ministry of Foreign Affairs,zhang_xi77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Zhang Buxin,Ministry of Foreign Affairs,zhangbuxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Zhao Baogang,Ministry of Foreign Affairs,zhaobaogang2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Shen Zhifei,Ministry of Foreign Affairs,zhifeishen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Belarus,Ministry of Foreign Affairs,zhongbai2020,chinaemb.by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Zhou Li,Ministry of Foreign Affairs,zhou_li_chn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Zhu Jingyang,Ministry of Foreign Affairs,zhu_jingyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Zhao Lijian,Ministry of Foreign Affairs,zlj517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Indonesia,Ministry of Foreign Affairs,,,,chinaembassy_indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Iran,Ministry of Foreign Affairs,,,,chinaembassy_iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Turkey,Ministry of Foreign Affairs,,,cinbuyukelciligiankara-9545,chinaembassy_turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Kyrgyzstan,Ministry of Foreign Affairs,,,,chinaembassyinkg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Consulate General in Hamburg,Ministry of Foreign Affairs,,,,chinameetsnorddeutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in South Korea,Ministry of Foreign Affairs,,,,chinese_embassy_in_seoul,chinese_embassy_in_seoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Australia,Ministry of Foreign Affairs,,ChinainAus,,cnauembassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Latvia,Ministry of Foreign Affairs,,,,embassyofchinainlatvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Consulate General in Cape Town,Ministry of Foreign Affairs,,,,,chineseconsulateincpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,China Consulate Osaka,Ministry of Foreign Affairs,,,,,chnconsul_osaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Consulate General in Alexandria,Ministry of Foreign Affairs,,ChinaConsulAlex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Consulate General in Ho Chi Minh City,Ministry of Foreign Affairs,,ChineseConsulateinHCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Consulate General in Kolkata,Ministry of Foreign Affairs,,profile.php?id=100087493236662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Consulate General in Kuching,Ministry of Foreign Affairs,,profile.php?id=61550978094668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Consulate General in Penang,Ministry of Foreign Affairs,,chinaconsulateinpenang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Bangladesh,Ministry of Foreign Affairs,,chinaembd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Barbados,Ministry of Foreign Affairs,,ChineseEmbassyinBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Botswana,Ministry of Foreign Affairs,,bw.chineseembassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Bulgaria,Ministry of Foreign Affairs,,chineseembassyinbulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Cambodia,Ministry of Foreign Affairs,,ChineseEmbassyCambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Guyana,Ministry of Foreign Affairs,,ChineseEmbassyinGuyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Iceland,Ministry of Foreign Affairs,,ChinaInIceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Lebanon,Ministry of Foreign Affairs,,ChinainLebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Malaysia,Ministry of Foreign Affairs,,chinaembmyCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Mongolia,Ministry of Foreign Affairs,,profile.php?id=100063544484530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Myanmar,Ministry of Foreign Affairs,,paukphawfriendship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in North Macedonia,Ministry of Foreign Affairs,,chinaembassynmk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Norway,Ministry of Foreign Affairs,,ChinaInNorway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Sierra Leone,Ministry of Foreign Affairs,,profile.php?id=100064919281086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Singapore,Ministry of Foreign Affairs,,Chinaemb.SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in South Africa,Ministry of Foreign Affairs,,chinainsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Trinidad and Tobago,Ministry of Foreign Affairs,,ChineseEmbinTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Embassy in Vietnam,Ministry of Foreign Affairs,,ChineseEmbassyinHanoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Xiao Junzheng,Ministry of Foreign Affairs,,profile.php?id=100076260574528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Yang Gang,Ministry of Foreign Affairs,,profile.php?id=100085710623943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Diplomatic/Government,Chinese Office of the Commissioner in Hong Kong,Ministry of Foreign Affairs,,MFAofficeHK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,China Culture,Ministry of Culture and Tourism,chinacultureorg,chinacultureorg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Ministry of Commerce (MOFCOM),Ministry of Commerce (MOFCOM),mofcom_china,mofcom.china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Discover Jilin,Jilin Provincial People's Government,discoverjilin,discoverjilin,DiscoverJilin,discoverjilin,discoverjilin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,"Jilin, China",Jilin Provincial People's Government,jilinchina,jilinchina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Jilin Daily,Jilin Provincial Committee,kimnaying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Love Jiaxing,Jiaxing Municipal Committee,lovejiaxing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Discover Jiangxi,Jiangxi Provincial People's Government,beautyjiangxi,DiscoverJiangxi2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,"Jiangsu, China",Jiangsu Provincial People's Government,gojiangsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Charming Changzhou,Jiangsu Provincial People's Government,ichangzhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Litchi Live,Jiangsu Provincial People's Government,,,litchilive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Visit Jiangsu,Jiangsu Provincial People's Government,,,,,visit_jiangsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,JSChina_Com_Cn,Jiangsu Provincial People's Government,,profile.php?id=100068609386301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Mango TV International,Hunan Provincial People's Government,,,MangoTV-Official,mgtv,mangotv_international,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Hunan Times,Hunan Provincial Committee,hunantimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Zhanhao,Hubei Self-Media Association,zhanhao668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Yangtze View World,Hubei Provincial People's Government,cjxwh_hbtv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Hubei TV,Hubei Provincial People's Government,,,hubeitvofficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Hubei Announcements (Open Hubei),Hubei Provincial People's Government,,,OpenHubei,,open.hubei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,DotDot News,Hong Kong Liaison Office of the Central Government ,dotdotnews111,,dotdotnewsEnglish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Ta Kung News,Hong Kong Liaison Office of the Central Government ,takungnews,tkp1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Ta Kung Wen Wei,Hong Kong Liaison Office of the Central Government ,takungwenwei_hk,profile.php?id=100064842371663,,takung.wenwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Henan TV,Henan Provincial Committee,henan_tv,ChinaHenanTV,,henantv,henantv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Henan TV (HNTV),Henan Provincial Committee,,,,,henantv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Heilongjiang JTV,Heilongjiang Provincial Committee,,,chinaheilongjiangtvofficia9631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Hangzhou 2022,Hangzhou Municipal People's Government,,,,,hangzhou2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,"Guizhou, China",Guizhou Provincial People's Government,iloveguizhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,"Guilin, China",Guilin Municipal People's Government,guilin__china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Guangxi Satellite TV,Guangxi Zhuang Autonomous Region People's Government,,,chinaguangxitvofficialchan244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Guangdong Today,Guangdong Provincial Committee,thisisgba,guangdongtoday,dtoday3687,guangdong_today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Explore Gansu,Gansu Provincial People's Government,exploregansu,ExploreGansu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Gansu TV Official,Gansu Provincial People's Government,,,GansuTVOfficialChannel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Fuzhou City,Fuzhou Municipal People's Government,fuzhoucity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Haixia Daobao,Fujian Provincial Committee,,hxdb1234,haixiadaobao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Xinwen Qishi Lu,Fujian Provincial Committee,,,,,sumonalocal365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Diba,Diba,back_xiaodidi,China.Di8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,iChongqing,Chongqing Municipal Committee,ichongqing_cimc,iChongqing,iChongqing,iChongqing.info,ichongqing.info,,ichongqing.info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Lin Nan,Chengdu Municipal Committee,lin_nan1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Yang Xinmeng (Abby Yang),Central Publicity Department,_bubblyabby_,itsAbby-103043374799622,itsAbby,_bubblyabby_,_bubblyabby_,,_bubblyabby_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Culture Express,Central Publicity Department,_cultureexpress,,,_cultureexpress/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Chen Zhong (Dechinghutay / Ghoti),Central Publicity Department,afghanchina,dechinghutay,dechinghutay,,dechinghutay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Media Challengers,Central Publicity Department,amediachallenge,themediachallengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Ge Anna,Central Publicity Department,annage_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Wang Zeyu (Anosi Wang),Central Publicity Department,anosiwang,,,anosiwang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Assignment Asia,Central Publicity Department,assignasia,cgtnassignmentasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Ma Ye (Ayisha Elseenya / عائشة الصينية),Central Publicity Department,ayishaelseenya,AyishaElseenyOfficial,AyishaElseenya,ayisha_elseeny13,ayishaelseenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Beijing Review,Central Publicity Department,beijingreview,BJReview,BeijingReview,beijingreview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Zheng Chenlei (Blair Zheng),Central Publicity Department,blairzheng1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Tang Bo,Central Publicity Department,bossebosse84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CCTV+,Central Publicity Department,cctv_plus,NewsContent.CCTVPLUS/,CCTVVideoNewsAgency,cctv_video_news_agency,cctv_plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCmv5DbNpxH8X2eQxJBqEjKQ,,,,,,,,,True
China,Media,CCTV News,Central Publicity Department,cctvxinwen,cctvxinwen,,,MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Visual China,Central Publicity Department,cd_visual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,China Daily Africa,Central Publicity Department,cdafricanews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,China Watch,Central Publicity Department,cdchinawatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,China Daily Hong Kong,Central Publicity Department,cdhkedition,chinadailyhkedition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CD Opinion,Central Publicity Department,cdopinion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,China Daily Sci-tech,Central Publicity Department,cdscitech,ChinaDailySciTech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Cen Ziyuan (Jasmine Cen),Central Publicity Department,cenjasmine,jasminecenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Culture,Central Publicity Department,cgtn_culture,,,,,,cgtnculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Dialogue,Central Publicity Department,cgtn_dialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Inheritors,Central Publicity Department,cgtn_inheritors,cgtn.inheritors,,cgtn_inheritors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Style,Central Publicity Department,cgtn_style,CGTN-Style-117178546331993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Africa,Central Publicity Department,cgtnafrica,cgtnafrica,CGTNAfrica,cgtn_africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgtn_africa,UCMeYPU1YfXjxsUa6QXWsfjg,cgtnafrica,,,,,,,,True
China,Media,CGTN America,Central Publicity Department,cgtnamerica,cgtnamerica,cgtnamerica,cgtnamerica,,,cgtnamerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgtnamerica,,,,,,,,,,True
China,Media,CGTN Arabic,Central Publicity Department,cgtnarabic,cgtnarabic,CGTNArabic,cgtnarabic,cgtnarabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgtnarabic,,,,,,,,,,True
China,Media,CGTN Business,Central Publicity Department,cgtnbusiness,CGTNBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN DC Producers,Central Publicity Department,cgtndcproducers,CGTNDialogueideasmatter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Europe,Central Publicity Department,cgtneurope,cgtneuropeofficial,CGTNEurope,cgtneurope,cgtneurope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgtneurope,UCj0TppyxzQWm9JbMg3CP8Rg,,,,,,,,,True
China,Media,CGTN Europe Breaking News,Central Publicity Department,cgtneuropebreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Food,Central Publicity Department,cgtnfood,CGTN-Food-100820617981722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Français,Central Publicity Department,cgtnfrancais,CGTNFrancais,CGTNFrancais,cgtnfrancais,MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgtnfrancais,UCcfLuU0NFT0ZRoQy4jk6GdA,,,,,,,,,True
China,Media,CGTN Global Business,Central Publicity Department,cgtnglobalbiz,CGTNGlobalBusiness,BizAsiaAmerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Graphics,Central Publicity Department,cgtngraphics,CGTNGraphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Movies,Central Publicity Department,cgtnmovies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN,Central Publicity Department,cgtnofficial,ChinaGlobalTVNetwork,CGTN,cgtn,,,cgtn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgtn,UCgrNz-aDmcr2uuto8_DL2jg,,,,,,,,,True
China,Media,CGTN Radio,Central Publicity Department,cgtnradio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Russian,Central Publicity Department,cgtnrussian,cgtnrussian,cgtnrussian,cgtn_russian,cgtn_russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCA2WHG4EpVqul3TYjAF0k2A,,,,cgtnrussian,,,,,True
China,Media,CGTN Sports,Central Publicity Department,cgtnsports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Sports Scene,Central Publicity Department,cgtnsportsscene,CGTNSportsScene,cgtnsportsscene,cgtn_sports_scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Stories,Central Publicity Department,cgtnstories,CGTNStories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Tech,Central Publicity Department,cgtntech,CGTN-Tech-104251674369966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Travel,Central Publicity Department,cgtntravel,CGTN-Travel-102031311241723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN Travelogue,Central Publicity Department,cgtntravelogue,cgtntravelogue,,cgtntravelogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN United Nations,Central Publicity Department,cgtnun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Liu Chen,Central Publicity Department,chen1126,profile.php?id=100057358513319,,liu.chen0_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,Chen Weihua,Central Publicity Department,chenweihua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,China Focus,Central Publicity Department,china__focus,ChinaFocus2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,CGTN China Takeaway,Central Publicity Department,china24official,China24Official,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,China Daily,Central Publicity Department,chinadaily,chinadaily,ChinaDailyOfficialChannel,chinadailynews,chinadailyofficial,,chinadailynews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCahujLjSL34EPNxtwKRi_vg,,,,,,,,,True
China,Media,China Daily EU Bureau,Central Publicity Department,chinadaily_eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,China Daily Life,Central Publicity Department,chinadaily_life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Media,China Daily Asia,Central Publicity Department,chinadailyasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
